Bandwidth,FileCount,AvgFileSize,BufSize,StartTime,CC_Level,P_Level,PP_Level,numActiveCores,frequency,AvgRtt,TotalAvgTput,TotalEnergy,DataTransferEnergy,TimeStamps,FileType
10,32,222.64,40,06-28-2021 06:35:14:834,1,1,1,24,2,30,392.9249735,12533.204,792.882094,1,1
10,32,222.64,40,06-28-2021 06:37:57:831,1,1,1,24,2.2,30,430.5070586,11547.067,831.642986,1,1
10,32,222.64,40,06-28-2021 06:40:27:709,1,1,1,24,2.3,30,431.2215004,11511.555,813.8841503,1,1
10,32,222.64,40,06-28-2021 06:42:58:032,1,1,1,28,1.2,30,428.3072569,11002.79,232.3311768,1,1
10,32,222.64,40,06-28-2021 06:45:30:178,1,1,1,28,1.4,30,430.4884527,11094.532,378.64486,1,1
10,32,222.64,40,06-28-2021 06:48:01:728,1,1,1,28,1.6,30,417.5145232,11574.101,525.3034361,1,1
10,32,222.64,40,06-28-2021 06:50:36:588,1,1,1,28,1.8,30,432.9929245,11184.165,530.2595596,1,1
10,32,222.64,40,06-28-2021 06:53:06:440,1,1,1,28,2,30,429.8011622,11340.369,607.3461971,1,1
10,32,222.64,40,06-28-2021 06:55:37:410,1,1,1,28,2.2,30,430.8515586,11439.021,732.1648175,1,1
10,32,222.64,40,06-28-2021 06:58:08:308,1,1,1,28,2.3,30,430.3892482,11582.956,864.5988545,1,1
10,32,222.64,40,06-28-2021 07:00:39:307,1,1,1,32,1.2,30,427.7493337,11058.467,274.0372084,1,1
10,32,222.64,40,06-28-2021 07:03:11:833,1,1,1,32,1.4,30,427.865703,11165.927,384.3531522,1,1
10,32,222.64,40,06-28-2021 07:05:43:557,1,1,1,32,1.6,30,430.4140451,11138.296,420.5563559,1,1
10,32,222.64,40,06-28-2021 07:08:14:699,1,1,1,32,1.8,30,431.1530599,11173.069,473.7000215,1,1
10,32,222.64,40,06-28-2021 07:10:45:482,1,1,1,32,2,30,429.4984614,11378.385,637.7978054,1,1
10,32,222.64,40,06-28-2021 07:13:16:384,1,1,1,32,2.2,30,429.3256808,11406.512,661.6022958,1,1
10,32,222.64,40,06-28-2021 07:15:47:841,1,1,1,32,2.3,30,429.6219612,11484.663,747.1633122,1,1
10,32,222.64,40,06-28-2021 07:18:18:283,1,1,1,36,1.2,30,428.0158518,11008.18,230.3883481,1,1
10,32,222.64,40,06-28-2021 07:20:50:407,1,1,1,36,1.4,30,427.5412516,11225.17,435.4914468,1,1
10,32,222.64,40,06-28-2021 07:23:22:701,1,1,1,36,1.6,30,429.2794239,11114.871,368.8034807,1,1
